,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
365,District of Columbia,2009,15.0,15.0,10.0,25.0,73.0,23.0,25.0,63.0,31.0,30.0,33.0,25.0,55.0,9.0,0.0,7.5
366,Florida,2009,16.0,18.0,10.0,26.0,74.0,27.0,30.0,71.0,38.0,30.0,35.0,25.0,60.0,15.0,4.0,10.7
367,Georgia,2009,17.0,17.0,11.0,26.0,77.0,26.0,29.0,74.0,36.0,33.0,30.0,20.0,65.0,9.0,6.0,9.5
368,Hawaii,2009,13.0,13.0,11.0,23.0,77.0,23.0,0.0,79.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
369,Idaho,2009,17.0,24.0,10.0,25.0,88.0,28.0,0.0,81.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
370,Illinois,2009,18.0,17.0,11.0,25.0,79.0,23.0,26.0,69.0,35.0,33.0,34.0,29.0,69.0,13.0,7.0,8.2
371,Indiana,2009,24.0,29.0,15.0,28.0,95.0,35.0,41.0,83.0,48.0,44.0,48.0,31.0,93.0,18.0,5.0,9.3
372,Iowa,2009,20.0,23.0,14.0,23.0,86.0,31.0,32.0,97.0,44.0,34.0,37.0,31.0,100.0,23.0,0.0,7.6
373,Kansas,2009,17.0,17.0,11.0,24.0,77.0,30.0,30.0,67.0,40.0,20.0,29.0,29.0,63.0,15.0,5.0,8.5
374,Kentucky,2009,17.0,22.0,14.0,28.0,83.0,29.0,32.0,79.0,42.0,40.0,34.0,33.0,78.0,21.0,6.0,11.5
375,Louisiana,2009,19.0,24.0,10.0,29.0,85.0,32.0,34.0,94.0,43.0,37.0,51.0,19.0,61.0,21.0,12.0,11.1
376,Maine,2009,20.0,17.0,11.0,28.0,72.0,41.0,44.0,61.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
377,Maryland,2009,19.0,20.0,13.0,28.0,90.0,29.0,32.0,94.0,42.0,37.0,28.0,27.0,72.0,11.0,6.0,9.3
378,Massachusetts,2009,18.0,17.0,11.0,24.0,79.0,23.0,26.0,67.0,35.0,30.0,24.0,23.0,60.0,12.0,5.0,7.9
379,Michigan,2009,18.0,20.0,13.0,26.0,77.0,30.0,32.0,75.0,42.0,31.0,28.0,32.0,65.0,13.0,7.0,9.3
380,Minnesota,2009,20.0,22.0,12.0,25.0,85.0,29.0,30.0,84.0,42.0,31.0,34.0,29.0,69.0,21.0,5.0,6.4
381,Mississippi,2009,19.0,21.0,11.0,27.0,84.0,30.0,0.0,80.0,44.0,0.0,27.0,27.0,62.0,26.0,0.0,11.6
382,Missouri,2009,20.0,22.0,13.0,26.0,84.0,34.0,36.0,84.0,50.0,35.0,37.0,32.0,91.0,22.0,7.0,7.9
383,Montana,2009,13.0,17.0,16.0,24.0,86.0,21.0,0.0,80.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
384,Nebraska,2009,17.0,21.0,13.0,25.0,83.0,33.0,39.0,76.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
385,Nevada,2009,15.0,15.0,10.0,23.0,73.0,28.0,29.0,62.0,37.0,0.0,16.0,30.0,41.0,8.0,0.0,7.9
386,New Hampshire,2009,20.0,19.0,12.0,24.0,81.0,35.0,0.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
387,New Jersey,2009,17.0,15.0,10.0,25.0,72.0,26.0,30.0,65.0,34.0,31.0,33.0,24.0,60.0,16.0,3.0,8.7
388,New Mexico,2009,19.0,26.0,11.0,30.0,100.0,44.0,0.0,83.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
389,New York,2009,16.0,16.0,10.0,24.0,71.0,24.0,26.0,67.0,35.0,28.0,29.0,25.0,53.0,14.0,4.0,8.9
390,North Carolina,2009,17.0,20.0,12.0,27.0,83.0,29.0,31.0,80.0,40.0,36.0,34.0,28.0,75.0,18.0,7.0,9.6
391,North Dakota,2009,21.0,28.0,10.0,27.0,74.0,45.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
392,Ohio,2009,18.0,20.0,13.0,26.0,81.0,31.0,33.0,80.0,44.0,39.0,31.0,36.0,64.0,22.0,6.0,10.1
393,Oklahoma,2009,16.0,21.0,11.0,24.0,80.0,31.0,31.0,58.0,43.0,33.0,27.0,31.0,58.0,14.0,0.0,11.0
394,Oregon,2009,16.0,18.0,12.0,24.0,77.0,33.0,34.0,60.0,42.0,34.0,30.0,25.0,66.0,17.0,3.0,8.3
395,Pennsylvania,2009,20.0,20.0,13.0,26.0,86.0,29.0,32.0,86.0,43.0,34.0,33.0,32.0,67.0,22.0,6.0,9.1
396,Rhode Island,2009,16.0,18.0,10.0,23.0,67.0,22.0,0.0,56.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
397,South Carolina,2009,15.0,20.0,12.0,29.0,82.0,31.0,29.0,81.0,38.0,33.0,42.0,33.0,78.0,18.0,0.0,10.4
398,South Dakota,2009,17.0,23.0,21.0,27.0,85.0,40.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
399,Tennessee,2009,19.0,22.0,11.0,27.0,90.0,32.0,35.0,87.0,47.0,34.0,47.0,29.0,71.0,22.0,11.0,10.3
400,Texas,2009,17.0,17.0,10.0,25.0,77.0,27.0,29.0,75.0,39.0,32.0,37.0,27.0,69.0,17.0,6.0,9.3
401,Utah,2009,20.0,19.0,9.0,20.0,76.0,26.0,25.0,75.0,32.0,30.0,28.0,33.0,47.0,13.0,0.0,6.1
402,Vermont,2009,16.0,18.0,12.0,24.0,80.0,30.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
403,Virginia,2009,9.0,9.0,6.0,14.0,60.0,16.0,23.0,40.0,21.0,18.0,16.0,16.0,31.0,9.0,2.0,8.2
404,Washington,2009,16.0,18.0,9.0,23.0,70.0,25.0,26.0,60.0,33.0,24.0,29.0,26.0,57.0,15.0,5.0,7.7
405,West Virginia,2009,18.0,26.0,22.0,28.0,84.0,25.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4
406,Wisconsin,2009,19.0,22.0,12.0,24.0,73.0,26.0,27.0,82.0,39.0,27.0,37.0,27.0,74.0,19.0,5.0,8.2
407,Wyoming,2009,13.0,21.0,9.0,21.0,89.0,25.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
408,Alabama,2008,16.0,19.0,11.0,24.0,85.0,32.0,35.0,87.0,41.0,25.0,36.0,53.0,72.0,25.0,8.0,11.2
409,Alaska,2008,13.0,14.0,6.0,17.0,75.0,25.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
410,Arizona,2008,17.0,15.0,8.0,21.0,70.0,21.0,22.0,63.0,29.0,20.0,36.0,28.0,79.0,14.0,7.0,7.8
411,Arkansas,2008,16.0,16.0,10.0,19.0,78.0,24.0,23.0,68.0,34.0,18.0,15.0,33.0,73.0,20.0,0.0,9.5
412,California,2008,13.0,11.0,7.0,17.0,61.0,15.0,18.0,46.0,22.0,15.0,23.0,21.0,59.0,12.0,5.0,8.5
413,Colorado,2008,16.0,15.0,9.0,21.0,67.0,20.0,20.0,53.0,26.0,22.0,42.0,23.0,68.0,9.0,6.0,6.0
414,Connecticut,2008,17.0,16.0,9.0,25.0,73.0,22.0,24.0,63.0,30.0,21.0,33.0,24.0,95.0,10.0,3.0,6.8
415,Delaware,2008,19.0,19.0,11.0,27.0,89.0,19.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
416,District of Columbia,2008,14.0,12.0,8.0,20.0,66.0,17.0,18.0,64.0,24.0,21.0,25.0,24.0,66.0,19.0,0.0,8.0
417,Florida,2008,15.0,15.0,9.0,21.0,69.0,20.0,22.0,63.0,27.0,24.0,28.0,28.0,75.0,17.0,7.0,9.5
418,Georgia,2008,14.0,15.0,9.0,22.0,72.0,18.0,20.0,64.0,27.0,24.0,30.0,26.0,73.0,17.0,8.0,9.9
419,Hawaii,2008,16.0,11.0,9.0,23.0,73.0,20.0,0.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
420,Idaho,2008,19.0,20.0,12.0,17.0,76.0,28.0,0.0,56.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
421,Illinois,2008,15.0,16.0,9.0,22.0,73.0,20.0,23.0,64.0,30.0,23.0,26.0,28.0,64.0,12.0,6.0,8.3
422,Indiana,2008,18.0,22.0,11.0,21.0,91.0,31.0,35.0,74.0,38.0,30.0,44.0,40.0,93.0,20.0,7.0,9.6
423,Iowa,2008,19.0,18.0,13.0,23.0,82.0,26.0,31.0,66.0,42.0,21.0,31.0,36.0,70.0,17.0,0.0,7.0
424,Kansas,2008,15.0,18.0,8.0,20.0,74.0,16.0,18.0,63.0,24.0,19.0,42.0,39.0,81.0,18.0,11.0,8.1
425,Kentucky,2008,17.0,18.0,13.0,21.0,83.0,20.0,23.0,71.0,28.0,24.0,37.0,40.0,78.0,17.0,6.0,9.9
426,Louisiana,2008,17.0,17.0,11.0,21.0,75.0,22.0,24.0,89.0,30.0,27.0,39.0,39.0,94.0,23.0,5.0,10.7
427,Maine,2008,13.0,16.0,10.0,26.0,84.0,21.0,22.0,54.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3
428,Maryland,2008,19.0,18.0,11.0,22.0,83.0,22.0,23.0,82.0,30.0,24.0,34.0,36.0,91.0,15.0,8.0,8.7
429,Massachusetts,2008,16.0,17.0,9.0,22.0,81.0,20.0,24.0,60.0,28.0,25.0,35.0,27.0,76.0,18.0,6.0,7.2
430,Michigan,2008,16.0,18.0,11.0,22.0,72.0,19.0,22.0,70.0,31.0,21.0,36.0,31.0,84.0,20.0,6.0,9.1
431,Minnesota,2008,18.0,17.0,12.0,21.0,81.0,22.0,25.0,70.0,31.0,21.0,36.0,29.0,96.0,20.0,8.0,5.9
432,Mississippi,2008,15.0,16.0,13.0,25.0,78.0,22.0,0.0,78.0,27.0,0.0,19.0,38.0,96.0,6.0,0.0,11.3
433,Missouri,2008,17.0,19.0,10.0,23.0,77.0,20.0,23.0,76.0,29.0,23.0,35.0,35.0,87.0,17.0,6.0,9.1
434,Montana,2008,14.0,19.0,10.0,25.0,77.0,30.0,0.0,72.0,40.0,0.0,12.0,44.0,0.0,18.0,0.0,6.5
435,Nebraska,2008,18.0,19.0,11.0,22.0,89.0,27.0,31.0,65.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
436,Nevada,2008,13.0,12.0,8.0,20.0,65.0,17.0,22.0,47.0,30.0,0.0,31.0,16.0,48.0,16.0,0.0,8.6
437,New Hampshire,2008,16.0,16.0,11.0,25.0,76.0,21.0,0.0,65.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
438,New Jersey,2008,15.0,14.0,9.0,21.0,70.0,19.0,20.0,64.0,27.0,23.0,30.0,29.0,82.0,13.0,6.0,8.4
439,New Mexico,2008,16.0,20.0,10.0,24.0,96.0,29.0,0.0,74.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
440,New York,2008,14.0,14.0,9.0,20.0,64.0,17.0,18.0,62.0,24.0,19.0,22.0,29.0,59.0,14.0,4.0,8.4
441,North Carolina,2008,15.0,17.0,12.0,24.0,80.0,21.0,23.0,72.0,28.0,28.0,28.0,30.0,78.0,13.0,7.0,9.3
442,North Dakota,2008,15.0,21.0,11.0,20.0,90.0,40.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
443,Ohio,2008,17.0,18.0,12.0,23.0,77.0,23.0,24.0,66.0,32.0,22.0,37.0,31.0,79.0,21.0,7.0,9.9
444,Oklahoma,2008,16.0,16.0,8.0,21.0,77.0,23.0,25.0,81.0,31.0,23.0,51.0,35.0,92.0,30.0,0.0,10.1
445,Oregon,2008,16.0,16.0,9.0,21.0,72.0,20.0,21.0,61.0,27.0,17.0,29.0,25.0,100.0,22.0,4.0,6.9
446,Pennsylvania,2008,18.0,18.0,11.0,23.0,79.0,25.0,26.0,68.0,34.0,27.0,30.0,30.0,87.0,22.0,7.0,8.8
447,Rhode Island,2008,16.0,14.0,10.0,24.0,72.0,14.0,0.0,70.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
448,South Carolina,2008,16.0,17.0,12.0,21.0,76.0,21.0,28.0,71.0,30.0,20.0,38.0,43.0,94.0,9.0,0.0,10.1
449,South Dakota,2008,18.0,21.0,14.0,24.0,90.0,45.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
450,Tennessee,2008,17.0,20.0,10.0,25.0,85.0,25.0,28.0,86.0,37.0,30.0,28.0,37.0,89.0,19.0,9.0,10.4
451,Texas,2008,16.0,15.0,9.0,21.0,72.0,19.0,21.0,63.0,28.0,23.0,25.0,29.0,72.0,17.0,7.0,9.7
452,Utah,2008,14.0,17.0,9.0,19.0,73.0,24.0,27.0,55.0,31.0,17.0,39.0,40.0,62.0,16.0,0.0,6.1
453,Vermont,2008,14.0,21.0,10.0,26.0,68.0,15.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
454,Virginia,2008,11.0,10.0,7.0,16.0,63.0,13.0,17.0,45.0,19.0,16.0,21.0,27.0,53.0,10.0,5.0,7.9
455,Washington,2008,15.0,14.0,8.0,19.0,66.0,14.0,19.0,57.0,22.0,18.0,28.0,24.0,78.0,9.0,6.0,6.9
456,West Virginia,2008,20.0,25.0,17.0,15.0,100.0,23.0,0.0,80.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9
457,Wisconsin,2008,18.0,19.0,10.0,22.0,73.0,24.0,26.0,65.0,30.0,22.0,26.0,37.0,72.0,13.0,2.0,7.2
458,Wyoming,2008,20.0,19.0,5.0,18.0,80.0,34.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
459,Alabama,2007,15.0,18.0,12.0,22.0,73.0,16.0,17.0,73.0,23.0,26.0,20.0,45.0,68.0,17.0,10.0,10.3
460,Alaska,2007,12.0,12.0,10.0,15.0,70.0,7.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
461,Arizona,2007,13.0,14.0,8.0,20.0,62.0,14.0,17.0,49.0,19.0,13.0,27.0,39.0,62.0,17.0,4.0,8.4
462,Arkansas,2007,14.0,17.0,10.0,19.0,80.0,24.0,24.0,48.0,33.0,24.0,38.0,35.0,68.0,27.0,0.0,9.2
463,California,2007,12.0,11.0,7.0,17.0,54.0,12.0,13.0,41.0,16.0,12.0,23.0,25.0,63.0,15.0,4.0,7.6
464,Colorado,2007,12.0,12.0,7.0,18.0,57.0,11.0,13.0,43.0,17.0,13.0,26.0,30.0,63.0,15.0,9.0,5.3
465,Connecticut,2007,14.0,13.0,10.0,20.0,65.0,12.0,13.0,51.0,19.0,18.0,38.0,41.0,84.0,17.0,6.0,7.3
466,Delaware,2007,14.0,16.0,13.0,20.0,100.0,25.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
467,District of Columbia,2007,12.0,11.0,8.0,21.0,61.0,10.0,11.0,47.0,15.0,15.0,29.0,18.0,65.0,9.0,0.0,8.1
468,Florida,2007,13.0,13.0,9.0,20.0,62.0,12.0,13.0,47.0,17.0,14.0,28.0,23.0,77.0,16.0,3.0,8.7
469,Georgia,2007,13.0,13.0,8.0,21.0,67.0,15.0,17.0,51.0,20.0,16.0,25.0,29.0,63.0,15.0,6.0,10.1
470,Hawaii,2007,10.0,10.0,9.0,19.0,64.0,17.0,0.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
471,Idaho,2007,15.0,21.0,8.0,18.0,66.0,20.0,0.0,42.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
472,Illinois,2007,14.0,13.0,9.0,19.0,64.0,14.0,16.0,46.0,19.0,15.0,26.0,30.0,74.0,14.0,6.0,8.8
473,Indiana,2007,17.0,22.0,11.0,19.0,82.0,20.0,21.0,55.0,27.0,17.0,28.0,45.0,96.0,17.0,10.0,8.5
474,Iowa,2007,14.0,15.0,12.0,20.0,74.0,24.0,22.0,57.0,26.0,18.0,35.0,57.0,89.0,15.0,0.0,6.8
475,Kansas,2007,13.0,14.0,8.0,18.0,69.0,19.0,19.0,62.0,23.0,12.0,33.0,35.0,74.0,15.0,11.0,7.3
476,Kentucky,2007,15.0,16.0,10.0,19.0,71.0,14.0,15.0,47.0,20.0,15.0,31.0,31.0,88.0,19.0,13.0,9.9
477,Louisiana,2007,14.0,17.0,9.0,22.0,68.0,14.0,15.0,60.0,21.0,14.0,23.0,29.0,84.0,30.0,9.0,10.2
478,Maine,2007,14.0,16.0,13.0,22.0,72.0,6.0,7.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
479,Maryland,2007,16.0,16.0,10.0,23.0,75.0,12.0,15.0,65.0,17.0,17.0,34.0,32.0,87.0,20.0,4.0,8.4
480,Massachusetts,2007,14.0,15.0,8.0,21.0,66.0,16.0,17.0,47.0,20.0,15.0,21.0,34.0,67.0,22.0,8.0,7.4
481,Michigan,2007,13.0,15.0,9.0,18.0,65.0,17.0,17.0,48.0,24.0,16.0,26.0,34.0,72.0,15.0,4.0,8.8
482,Minnesota,2007,15.0,15.0,10.0,18.0,68.0,14.0,15.0,51.0,20.0,14.0,28.0,37.0,73.0,12.0,13.0,5.7
483,Mississippi,2007,13.0,14.0,12.0,21.0,71.0,14.0,0.0,61.0,22.0,0.0,36.0,22.0,76.0,19.0,0.0,11.1
484,Missouri,2007,15.0,17.0,9.0,22.0,71.0,18.0,18.0,60.0,26.0,18.0,26.0,31.0,93.0,15.0,7.0,8.0
485,Montana,2007,13.0,18.0,10.0,18.0,61.0,18.0,0.0,57.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
486,Nebraska,2007,14.0,19.0,12.0,19.0,72.0,23.0,22.0,58.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
487,Nevada,2007,11.0,11.0,6.0,17.0,49.0,10.0,13.0,44.0,15.0,0.0,21.0,29.0,59.0,17.0,0.0,8.0
488,New Hampshire,2007,13.0,15.0,9.0,21.0,64.0,12.0,0.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
489,New Jersey,2007,13.0,12.0,8.0,19.0,62.0,11.0,12.0,47.0,14.0,15.0,30.0,26.0,69.0,18.0,4.0,9.2
490,New Mexico,2007,15.0,18.0,8.0,18.0,84.0,19.0,0.0,64.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
491,New York,2007,11.0,13.0,8.0,18.0,60.0,12.0,13.0,45.0,16.0,14.0,22.0,26.0,58.0,16.0,5.0,8.2
492,North Carolina,2007,15.0,14.0,10.0,22.0,68.0,13.0,14.0,54.0,18.0,16.0,29.0,35.0,76.0,19.0,5.0,9.1
493,North Dakota,2007,14.0,16.0,14.0,23.0,87.0,9.0,0.0,67.0,0.0,0.0,83.0,59.0,0.0,20.0,0.0,6.3
494,Ohio,2007,13.0,15.0,9.0,20.0,67.0,14.0,15.0,55.0,19.0,18.0,36.0,37.0,79.0,19.0,7.0,9.5
495,Oklahoma,2007,13.0,14.0,9.0,19.0,73.0,12.0,16.0,50.0,20.0,20.0,25.0,24.0,90.0,23.0,0.0,10.2
496,Oregon,2007,14.0,14.0,9.0,19.0,63.0,12.0,14.0,48.0,17.0,12.0,43.0,30.0,100.0,12.0,3.0,6.9
497,Pennsylvania,2007,15.0,16.0,9.0,22.0,69.0,14.0,16.0,55.0,20.0,17.0,28.0,30.0,74.0,20.0,8.0,8.7
498,Rhode Island,2007,11.0,13.0,9.0,18.0,66.0,9.0,0.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
499,South Carolina,2007,13.0,15.0,8.0,22.0,67.0,12.0,13.0,54.0,16.0,18.0,32.0,30.0,52.0,15.0,0.0,9.6
500,South Dakota,2007,12.0,20.0,13.0,21.0,73.0,13.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
501,Tennessee,2007,14.0,17.0,10.0,23.0,75.0,15.0,15.0,65.0,21.0,22.0,26.0,31.0,86.0,18.0,7.0,11.9
502,Texas,2007,13.0,13.0,8.0,20.0,65.0,12.0,14.0,52.0,18.0,14.0,32.0,33.0,75.0,15.0,7.0,10.3
503,Utah,2007,11.0,16.0,10.0,17.0,65.0,13.0,15.0,50.0,19.0,16.0,22.0,39.0,73.0,14.0,0.0,5.8
504,Vermont,2007,13.0,19.0,11.0,17.0,64.0,10.0,0.0,62.0,0.0,0.0,27.0,56.0,0.0,27.0,0.0,7.0
505,Virginia,2007,12.0,12.0,8.0,19.0,64.0,11.0,11.0,53.0,15.0,15.0,21.0,31.0,67.0,14.0,4.0,8.0
506,Washington,2007,12.0,12.0,7.0,18.0,63.0,12.0,13.0,44.0,18.0,12.0,25.0,24.0,73.0,12.0,3.0,7.1
507,West Virginia,2007,20.0,22.0,12.0,21.0,93.0,14.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
508,Wisconsin,2007,14.0,16.0,9.0,20.0,65.0,18.0,19.0,57.0,23.0,17.0,30.0,40.0,77.0,19.0,7.0,6.5
509,Wyoming,2007,14.0,19.0,9.0,16.0,78.0,26.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
510,Alabama,2006,13.0,19.0,10.0,22.0,80.0,10.0,12.0,56.0,20.0,15.0,16.0,33.0,73.0,29.0,9.0,10.0
511,Alaska,2006,11.0,12.0,6.0,15.0,83.0,14.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
512,Arizona,2006,14.0,16.0,9.0,19.0,76.0,14.0,16.0,48.0,21.0,15.0,27.0,20.0,53.0,9.0,6.0,8.5
513,Arkansas,2006,17.0,12.0,11.0,18.0,78.0,7.0,6.0,61.0,11.0,10.0,41.0,37.0,61.0,11.0,0.0,8.1
514,California,2006,13.0,12.0,8.0,17.0,65.0,11.0,12.0,42.0,16.0,11.0,18.0,16.0,51.0,12.0,4.0,8.2
515,Colorado,2006,12.0,13.0,9.0,19.0,64.0,8.0,11.0,46.0,13.0,12.0,18.0,28.0,45.0,14.0,8.0,5.3
516,Connecticut,2006,15.0,18.0,10.0,22.0,74.0,18.0,20.0,56.0,24.0,15.0,21.0,22.0,57.0,12.0,5.0,6.4
517,Delaware,2006,11.0,15.0,9.0,16.0,69.0,12.0,0.0,60.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,8.1
518,District of Columbia,2006,13.0,11.0,9.0,19.0,68.0,12.0,13.0,47.0,13.0,10.0,22.0,18.0,63.0,12.0,0.0,8.1
519,Florida,2006,13.0,12.0,8.0,20.0,69.0,11.0,13.0,47.0,17.0,13.0,16.0,18.0,50.0,12.0,3.0,8.5
520,Georgia,2006,14.0,15.0,9.0,19.0,72.0,10.0,11.0,51.0,16.0,12.0,19.0,24.0,45.0,13.0,6.0,9.1
521,Hawaii,2006,12.0,8.0,8.0,18.0,71.0,15.0,0.0,41.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
522,Idaho,2006,9.0,22.0,9.0,18.0,78.0,15.0,0.0,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
523,Illinois,2006,14.0,13.0,10.0,17.0,70.0,11.0,13.0,50.0,15.0,18.0,20.0,19.0,57.0,10.0,4.0,8.1
524,Indiana,2006,17.0,21.0,14.0,18.0,87.0,12.0,13.0,56.0,16.0,21.0,32.0,27.0,62.0,12.0,13.0,8.1
525,Iowa,2006,15.0,20.0,13.0,25.0,87.0,14.0,14.0,67.0,19.0,15.0,17.0,26.0,84.0,15.0,0.0,7.3
526,Kansas,2006,13.0,18.0,13.0,19.0,75.0,11.0,12.0,32.0,15.0,12.0,9.0,39.0,56.0,20.0,5.0,7.3
527,Kentucky,2006,17.0,20.0,12.0,19.0,79.0,16.0,19.0,59.0,23.0,18.0,12.0,32.0,70.0,17.0,18.0,9.9
528,Louisiana,2006,13.0,17.0,11.0,19.0,79.0,11.0,13.0,56.0,20.0,11.0,28.0,26.0,51.0,26.0,14.0,9.2
529,Maine,2006,14.0,18.0,11.0,20.0,95.0,12.0,13.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9
530,Maryland,2006,16.0,15.0,12.0,20.0,83.0,13.0,14.0,55.0,20.0,17.0,21.0,32.0,56.0,13.0,8.0,7.9
531,Massachusetts,2006,15.0,16.0,9.0,19.0,78.0,9.0,11.0,52.0,14.0,17.0,17.0,24.0,49.0,14.0,2.0,6.4
532,Michigan,2006,12.0,18.0,10.0,17.0,73.0,11.0,12.0,51.0,17.0,16.0,14.0,22.0,57.0,16.0,4.0,9.0
533,Minnesota,2006,15.0,17.0,12.0,19.0,80.0,17.0,17.0,56.0,24.0,16.0,23.0,29.0,53.0,10.0,9.0,5.7
534,Mississippi,2006,15.0,15.0,15.0,27.0,93.0,11.0,0.0,80.0,14.0,0.0,19.0,44.0,51.0,11.0,0.0,10.9
535,Missouri,2006,16.0,20.0,10.0,20.0,87.0,12.0,12.0,66.0,18.0,16.0,25.0,29.0,71.0,17.0,7.0,7.4
536,Montana,2006,13.0,16.0,11.0,16.0,77.0,20.0,0.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
537,Nebraska,2006,13.0,19.0,10.0,19.0,80.0,18.0,18.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
538,Nevada,2006,12.0,13.0,8.0,17.0,62.0,13.0,11.0,42.0,16.0,0.0,23.0,23.0,36.0,18.0,0.0,7.5
539,New Hampshire,2006,21.0,15.0,9.0,20.0,70.0,15.0,0.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
540,New Jersey,2006,14.0,13.0,9.0,21.0,70.0,11.0,13.0,46.0,16.0,14.0,18.0,15.0,53.0,12.0,4.0,7.5
541,New Mexico,2006,18.0,22.0,13.0,22.0,100.0,10.0,0.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
542,New York,2006,12.0,12.0,10.0,19.0,68.0,11.0,13.0,45.0,15.0,12.0,16.0,18.0,43.0,12.0,5.0,7.6
543,North Carolina,2006,14.0,18.0,11.0,22.0,86.0,13.0,15.0,51.0,18.0,19.0,22.0,23.0,55.0,13.0,7.0,9.1
544,North Dakota,2006,20.0,28.0,12.0,19.0,88.0,26.0,0.0,100.0,0.0,0.0,42.0,100.0,0.0,49.0,0.0,6.7
545,Ohio,2006,14.0,16.0,11.0,21.0,74.0,11.0,12.0,55.0,17.0,13.0,23.0,24.0,54.0,11.0,8.0,6.7
546,Oklahoma,2006,13.0,19.0,9.0,20.0,75.0,12.0,11.0,57.0,16.0,16.0,18.0,32.0,63.0,16.0,0.0,10.0
547,Oregon,2006,14.0,15.0,9.0,17.0,71.0,17.0,19.0,41.0,24.0,14.0,21.0,33.0,50.0,14.0,4.0,6.7
548,Pennsylvania,2006,14.0,17.0,11.0,21.0,76.0,12.0,13.0,56.0,18.0,15.0,19.0,30.0,57.0,15.0,6.0,8.5
549,Rhode Island,2006,8.0,12.0,10.0,15.0,73.0,12.0,0.0,43.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
550,South Carolina,2006,14.0,16.0,11.0,18.0,83.0,13.0,15.0,51.0,18.0,19.0,25.0,27.0,43.0,9.0,0.0,9.6
