,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
55,California,2015,21.0,18.0,9.0,20.0,76.0,42.0,46.0,57.0,53.0,31.0,32.0,27.0,64.0,16.0,5.0,10.04
56,Colorado,2015,21.0,19.0,9.0,20.0,76.0,42.0,45.0,61.0,55.0,34.0,38.0,32.0,73.0,17.0,7.0,6.75
57,Connecticut,2015,24.0,23.0,12.0,28.0,89.0,46.0,49.0,80.0,57.0,37.0,32.0,30.0,67.0,18.0,6.0,9.26
58,Delaware,2015,23.0,22.0,13.0,27.0,95.0,47.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47
59,District of Columbia,2015,19.0,17.0,9.0,21.0,76.0,38.0,42.0,59.0,51.0,31.0,26.0,30.0,52.0,17.0,0.0,8.52
60,Florida,2015,21.0,21.0,11.0,25.0,80.0,44.0,48.0,77.0,58.0,36.0,34.0,36.0,68.0,21.0,6.0,11.29
61,Georgia,2015,19.0,18.0,10.0,21.0,78.0,46.0,50.0,64.0,57.0,35.0,36.0,26.0,68.0,15.0,6.0,11.28
62,Hawaii,2015,21.0,17.0,11.0,21.0,83.0,40.0,0.0,64.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53
63,Idaho,2015,23.0,22.0,11.0,23.0,88.0,53.0,0.0,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09
64,Illinois,2015,21.0,19.0,10.0,21.0,79.0,44.0,47.0,63.0,55.0,36.0,31.0,29.0,62.0,17.0,6.0,9.92
65,Indiana,2015,28.0,29.0,13.0,25.0,97.0,53.0,55.0,72.0,69.0,45.0,44.0,38.0,99.0,23.0,5.0,11.44
66,Iowa,2015,23.0,22.0,11.0,22.0,86.0,55.0,59.0,68.0,69.0,40.0,37.0,32.0,76.0,21.0,0.0,8.79
67,Kansas,2015,19.0,18.0,10.0,19.0,72.0,40.0,43.0,49.0,51.0,31.0,33.0,26.0,60.0,15.0,4.0,9.7
68,Kentucky,2015,24.0,26.0,12.0,25.0,95.0,51.0,55.0,75.0,68.0,46.0,36.0,39.0,83.0,20.0,9.0,13.44
69,Louisiana,2015,22.0,23.0,10.0,23.0,85.0,45.0,48.0,81.0,61.0,39.0,38.0,34.0,81.0,20.0,9.0,12.7
70,Maine,2015,23.0,23.0,12.0,24.0,90.0,53.0,57.0,66.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86
71,Maryland,2015,25.0,22.0,12.0,27.0,94.0,50.0,52.0,84.0,63.0,42.0,43.0,36.0,83.0,21.0,8.0,10.3
72,Massachusetts,2015,23.0,22.0,10.0,23.0,86.0,45.0,46.0,70.0,56.0,38.0,38.0,37.0,63.0,21.0,6.0,8.92
73,Michigan,2015,23.0,21.0,11.0,22.0,81.0,52.0,53.0,72.0,65.0,37.0,36.0,35.0,72.0,19.0,6.0,10.73
74,Minnesota,2015,25.0,22.0,13.0,23.0,86.0,51.0,54.0,71.0,64.0,41.0,42.0,38.0,83.0,21.0,9.0,7.56
75,Mississippi,2015,25.0,26.0,13.0,25.0,95.0,67.0,0.0,100.0,81.0,0.0,40.0,38.0,100.0,24.0,0.0,14.72
76,Missouri,2015,25.0,24.0,12.0,24.0,87.0,50.0,54.0,78.0,66.0,41.0,36.0,40.0,81.0,18.0,8.0,11.45
77,Montana,2015,22.0,22.0,13.0,23.0,81.0,48.0,0.0,62.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86
78,Nebraska,2015,22.0,22.0,12.0,22.0,87.0,47.0,56.0,69.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79
79,Nevada,2015,19.0,17.0,9.0,20.0,83.0,45.0,48.0,64.0,55.0,0.0,26.0,27.0,61.0,20.0,0.0,9.69
80,New Hampshire,2015,23.0,22.0,10.0,22.0,78.0,47.0,0.0,66.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11
81,New Jersey,2015,22.0,20.0,10.0,25.0,81.0,44.0,47.0,62.0,54.0,38.0,33.0,29.0,67.0,19.0,4.0,8.99
82,New Mexico,2015,24.0,23.0,11.0,22.0,93.0,49.0,0.0,75.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49
